YLR331C	Jumonji Interacting Protein
YLR206W	epsin N-terminal homology-containing protein
YLR207W	HMG-CoA Reductase Degradation--the HRD complex is responsible for the endoplasmic reticulum (ER)-associated degradation (ERAD) of numerous ER-resident proteins.
YLR208W	nuclear pore complex subunit|protein involved in release of transport vesicles from the ER
YLR167W	ribosomal protein S31 (S37) (YS24)|also encodes a ubiquitin protein
YLR168C	possibly involved in intramitochondrial sorting
YLR169W	Hypothetical ORF
YLR170C	clathrin associated protein complex small subunit
YLR171W	Hypothetical ORF
YLR172C	diphthamide biosynthesis
YLR173W	Hypothetical ORF
YLR174W	NADP-dependent isocitrate dehydrogenase
YLR175W	major low affinity 55 kDa centromere/microtubule binding protein
YLR176C	DNA binding protein, homologous to a family of mammalian RFX1-4 proteins which have a novel highly conserved DNA binding domain
YLR177W	Hypothetical ORF
YLR178C	lipid binding protein (putative)|supressor of a cdc25 mutation
YLR179C	Hypothetical ORF
YLR180W	S-adenosylmethionine synthetase
YLR180W	S-adenosylmethionine synthetase
YLR181C	Class E Vacuolar-Protein Sorting
YLR182W	transcription factor
YLR183C	Target of SBF
YLR184W	Hypothetical ORF
YLR185W	ribosomal protein L37A (L43) (YL35)
YLR186W	ribosome biogenesis
YLR187W	Hypothetical ORF
YLR188W	ATP-binding cassette (ABC) transporter family member
YLR140W	Protein required for cell viability
YLR141W	UAF member (upstream activation factor) along with Rrn9p and Rrn10p|transcription factor
YLR142W	proline oxidase
YLR143W	Hypothetical ORF
YLR144C	glucan-hydrolyzing protein that specifically acts on 1,3-beta linkages, with an endolytic mode of action. necessary for actin polymerization in permeabilized cells.
YLR145W	Protein required for cell viability
YLR146C	spermine synthase
YLR147C	core snRNP protein
YLR148W	vacuolar membrane protein
YLR149C	Hypothetical ORF
YLR150W	purine motif triplex-binding protein
YLR151C	coenzyme A diphosphatase
YLR152C	Hypothetical ORF
YLR153C	acetyl CoA synthetase
YLR154C	subunit 3 of RNase H2
YLR155C	nitrogen catabolite-regulated cell-wall L-asparaginase II
YLR156W	Note: YLR156W, YLR159W, and YLR161W are identical.
YLR162W	Hypothetical ORF
YLR163C	mitochondrial processing protease subunit
YLR164W	YLR164Wp is homologous to TIM18p
YLR165C	
YLR166C	exocyst complex 100 kDa component
YLR119W	Suppressor of rna1-1 mutation
YLR120C	GPI-anchored aspartic protease
YLR121C	GPI-anchored aspartic protease
YLR122C	Hypothetical ORF
YLR122C	Hypothetical ORF
YLR123C	contains characteristic aminoacyl-tRNA motif
YLR124W	Hypothetical ORF
YLR125W	Hypothetical ORF
YLR126C	Hypothetical ORF
YLR127C	anaphase promoting complex (APC) subunit
YLR128W	Hypothetical ORF
YLR129W	U3 snoRNP protein
YLR130C	low affinity zinc transport protein
YLR131C	zinc finger transcription factor
YLR132C	Protein required for cell viability
YLR133W	choline kinase
YLR134W	pyruvate decarboxylase
YLR135W	
YLR136C	Zinc finger containing homolog of mammalian TIS11, glucose repressible gene
YLR137W	Hypothetical ORF
YLR138W	Putative Na+/H+ antiporter
YLR139C	73 kDa mitochondrial integral membrane protein
YLR140W	Protein required for cell viability
YLR096W	Serine/threonine protein kinase
YLR097C	
YLR098C	DNA binding transcriptional activator of CHA1
YLR099C	Increased Copper Tolerance; Similar to Ecm18p
YLR100W	3-keto sterol reductase
YLR101C	Protein required for cell viability
YLR102C	anaphase promoting complex (APC) subunit
YLR103C	chromosomal DNA replication initiation protein
YLR104W	Hypothetical ORF
YLR105C	tRNA splicing endonuclease subunit
YLR106C	midasin
YLR107W	RNA EXonuclease; member of 3'->5' exonuclease family. See Moser et al. 1997 Nucleic acids Res. 25:5110-5118
YLR108C	Hypothetical ORF
YLR109W	alkyl hydroperoxide reductase|EC 1.11.1.-
YLR110C	cell wall mannoprotein
YLR111W	Hypothetical ORF
YLR112W	Hypothetical ORF
YLR113W	MAP kinase
YLR114C	PHO85 Requiring
YLR115W	105 kDa protein associated with polyadenylation factor 1 (PF I)|cleavage factor II (CF II) component
YLR116W	branchpoint bridging protein -- component of the splicing commitment complex
YLR117C	pre-mRNA splicing factor
YLR118C	
YLR074C	
YLR075W	ribosomal protein L10
YLR076C	Protein required for cell viability
YLR077W	Hypothetical ORF
YLR078C	v-SNARE
YLR079W	P40 inhibitor of Cdc28p-Clb5 protein kinase complex
YLR080W	homolog of the Golgi protein Emp47p
YLR081W	galactose permease
YLR082C	Suppressor of Rad53 null Lethality
YLR083C	identified as a 24 kDa cleavage product in endosome-enriched membrane fractions
YLR084C	Involved in the maintenance of bipolar pattern
YLR085C	Actin-related protein. Part of the carboxypeptidase Y pathway.
YLR086W	SMC chromosomal ATPase family member
YLR087C	Cold Sensitive for Fermentation in cs mutants, fermentation capacity is almost none at 5 deg C, but restored to wild type at 25 deg C
YLR088W	GPI:protein transamidase component (putative)
YLR089C	Hypothetical ORF
YLR090W	Homolog of E. coli DnaJ, closely related to Ydj1p
YLR091W	Hypothetical ORF
YLR092W	high affinity sulfate permease
YLR093C	vacuolar v-SNARE
YLR094C	GIG3 suppressor
YLR095C	Iswi One Complex
YLR051C	Protein required for cell viability
YLR052W	Hypothetical ORF
YLR053C	Hypothetical ORF
YLR054C	Outer Spore Wall
YLR055C	probable member of histone acetyltransferase SAGA complex|transcription factor
YLR056W	C-5 sterol desaturase
YLR057W	Hypothetical ORF
YLR058C	serine hydroxymethyltransferase
YLR059C	RNA exonuclease
YLR060W	phenylalanine-tRNA ligase subunit
YLR061W	ribosomal protein L22A (L1c) (rp4) (YL31)
YLR062C	
YLR063W	Hypothetical ORF
YLR064W	Hypothetical ORF
YLR065C	Hypothetical ORF
YLR066W	signal peptidase subunit
YLR067C	Involved in expression of mitochondrial COX1 by regulating translation of COX1 mRNA and by affecting transcription or stability of COX1 mRNAs
YLR068W	Function required for Yeast Viability on toxin exposure
YLR069C	mitochondrial elongation factor G-like protein
YLR070C	Xylitol Dehydrogenase
YLR071C	RNA polymerase II holoenzyme/mediator subunit|interacts with Sin4p, Gal11p, and a 50 kDa polypeptide
YLR072W	Hypothetical ORF
YLR073C	Hypothetical ORF
YLR031W	Hypothetical ORF
YLR032W	ATPase (putative)|DNA helicase (putative)
YLR033W	58KDa Subunit of RSC Chromatin Remodeling Complex
YLR034C	Nramp homolog|SMF1 and SMF2 homolog|metal transporter (putative)
YLR035C	Mutl Homolog
YLR036C	Hypothetical ORF
YLR037C	putative cell wall protein
YLR038C	cytochrome c oxidase subunit VIb
YLR039C	Ribosome Control Ric1p binds to Rgp1p, on the Golgi, and the complex catalyses nucleotide exchange on Ypt6p.
YLR040C	Hypothetical ORF
YLR041W	Hypothetical ORF
YLR042C	Hypothetical ORF
YLR043C	thioredoxin|EC 1.8.4.8
YLR044C	pyruvate decarboxylase
YLR045C	Control of microtubule dynamics by Stu2p is essential for spindle orientation and metaphase chromosome alignment.
YLR046C	Hypothetical ORF
YLR047C	Hypothetical ORF
YLR048W	ribosomal protein S0B
YLR048W	ribosomal protein S0B
YLR048W	ribosomal protein S0B
YLR049C	Hypothetical ORF
YLR050C	Hypothetical ORF
YLR009W	part of a pre-60S complex
YLR010C	protein involved in Telomeric pathways in association with Stn1
YLR011W	LOw Temperature responsive
YLR012C	Hypothetical ORF
YLR013W	The amino acid sequence of this ORF is very homologous to that of GAT4/YIR013C.
YLR014C	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type
YLR015W	compass (complex proteins associated with Set1p) component
YLR016C	Hypothetical ORF
YLR017W	Protein that regulates ADH2 gene expression
YLR018C	integral membrane protein|nuclear pore complex subunit
YLR019W	Plasma membrane Sodium Response 2
YLR020C	Hypothetical ORF
YLR021W	Hypothetical ORF
YLR022C	Protein required for cell viability
YLR023C	Hypothetical ORF
YLR024C	ubiquitin-protein ligase (E3)
YLR025W	Involved in derepression of SUC2 in response to glucose limitation
YLR026C	Sed5p is a t-SNARE (soluble NSF attachment protein receptor) required in ER to Golgi transport
YLR027C	aspartate aminotransferase
YLR028C	5-aminoimidazole-4-carboxamide ribonucleotide (AICAR) transformylase/IMP cyclohydrolase
YLR029C	ribosomal protein L15A (YL10) (rp15R) (L13A)
YLR029C	ribosomal protein L15A (YL10) (rp15R) (L13A)
YLR030W	Hypothetical ORF
YLL015W	ABC transporter|highly homologous to human MRP1 and to C. elegans mrp-1
YLL014W	Hypothetical ORF
YLL013C	member of the PUF protein family, which is named for the founding members, PUmilio and Fbf
YLL012W	Hypothetical ORF
YLL011W	U3 snoRNP protein
YLL010C	Plasma membrane Sodium Response 1
YLL009C	cysteine-rich protein
YLL008W	ATP dependent RNA helicase (putative)
YLL007C	Hypothetical ORF
YLL006W	mitochondrial outer membrane protein
YLL005C	Sporulation
YLL004W	origin recognition complex subunit
YLL003W	Product of gene unknown
YLL002W	Regulator of Ty1 Transposition; Regulation of mitochondrial network; Killed in Mutagen, sensitive to diepoxybutane and/or mitomycin C
YLL001W	similar to dynamin GTPase
YLR001C	Hypothetical ORF
YLR002C	NucleOlar Complex 2; involved in the nuclear export of pre-ribosomes
YLR003C	Hypothetical ORF
YLR004C	Hypothetical ORF
YLR005W	RNA polymerase transcription factor TFIIH component
YLR006C	two-component signal transducer that with Sln1p regulates osmosensing MAP kinase cascade(suppressor of sensor kinase)
YLR007W	non-SMC element 1. essential for cell proliferation.
YLR008C	DnaJ-like protein, cochaperone
YLL035W	Product of gene unknown
YLL034C	Protein required for cell viability
YLL033W	Hypothetical ORF
YLL032C	Hypothetical ORF
YLL031C	Glycosylphosphatidylinositol (GPI) biosynthesis
YLL030C	Hypothetical ORF
YLL029W	Hypothetical ORF
YLL028W	plasma membrane-bound exporter, involved in the detoxification of excess spermidine
YLL027W	Iron Sulfur Assembly -- IscA/NifA homolog
YLL026W	heat shock protein 104
YLL025W	Hypothetical ORF
YLL024C	HSP70 family
YLL023C	Hypothetical ORF
YLL022C	Hat1 Interacting Factor 1
YLL021W	spindle pole antigen
YLL020C	Hypothetical ORF
YLL020C	Hypothetical ORF
YLL020C	Hypothetical ORF
YLL019C	protein kinase homolog
YLL018C	aspartyl-tRNA synthetase
YLL017W	GDP/GTP exchange factor for Ras
YLL016W	GDP/GTP exchange factor for Ras
YLL057C	similar to Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase; EC 1.14.11.17
YLL056C	Hypothetical ORF
YLL055W	Hypothetical ORF
YLL054C	Hypothetical ORF
YLL053C	Hypothetical ORF; maybe continuous with YLL052C (AQY2) in some strain backgrounds including Sigma1278b; functions as an aquaporin in these strains.
YLL052C	MIP family member|aquaporin (putative)
YLL051C	similar to FRE2
YLL050C	actin binding and severing protein|cofilin
YLL049W	Hypothetical ORF
YLL048C	Yeast bile transporter, similar to mammalian bile transporter
YLL047W	Hypothetical ORF
YLL046C	RNA binding protein (putative)
YLL045C	ribosomal protein L8B (L4B) (rp6) (YL5)
YLL045C	ribosomal protein L8B (L4B) (rp6) (YL5)
YLL044W	Hypothetical ORF
YLL043W	glycerol channel protein
YLL042C	protein-conjugating enzyme
YLL041C	succinate dehydrogenase (ubiquinone) iron-sulfur protein subunit
YLL040C	homologous to human COH1
YLL039C	ubiquitin|poly-ubiquitin
YLL038C	epsin N-terminal homology-containing protein
YLL037W	Protein required for cell viability
YLL036C	RNA splicing factor
YLL065W	growth inhibitor
YLL064C	Hypothetical ORF
YLL063C	Transacetylase
YLL062C	S-Methylmethionine Homocysteine methylTransferase
YLL061W	high affinity S-methylmethionine permease
YLL060C	glutathione transferase
YLL059C	Hypothetical ORF
YLL058W	Hypothetical ORF
YKL200C	
YKL162C-A	Similar to PIR1, PIR2 and PIR3 proteins
YKR035C	Hypothetical ORF
YKL201C	Required for the transfer of mannosylphosphate to cell wall mannans.
YKL199C	
YKL198C	Putative serine/threonine protein kinase
YKL033W-A	Similar to S. pombe hypothetical proteins
YKR085C	ribosomal protein large subunit (YmL20)|similar to L17 of E. coli
YKR086W	ATP-binding protein (putative)
YKR087C	Hypothetical ORF
YKR088C	integral membrane protein
YKR089C	Hypothetical ORF
YKR090W	contains two LIM domains
YKR091W	Suppressor of Rad53 null Lethality
YKR092C	Nopp140 homolog, a nonribosomal protein of the nucleolus and coiled bodies|nucleolar protein
YKR093W	peptide transporter
YKR094C	ribosomal protein L40B|also encodes a ubiquitin protein
YKR094C	ribosomal protein L40B|also encodes a ubiquitin protein
YKR095W	colied-coil protein (putative), similar to myosin and TPR
YKR096W	Hypothetical ORF
YKR096W	Hypothetical ORF
YKR097W	phosphoenolpyruvate carboxylkinase
YKR098C	ubiquitin-specific protease
YKR099W	transcription factor
YKR100C	Hypothetical ORF
YKR101W	silent mating loci repressor
YKR102W	Protein with similarity to flocculation protein Flo1p
YKR103W	Putative MRP-type ABC transporter
YKR104W	Putative MRP-type ABC transporter
YKR105C	Hypothetical ORF
YKR062W	transcription factor TFIIE subunit
YKR063C	May regulate expression of genes involved in bud formation and morphogenesis
YKR064W	Hypothetical ORF
YKR065C	Hypothetical ORF
YKR066C	cytochrome c peroxidase
YKR067W	Encodes a Glycerol-3-phosphate acyltransferase
YKR068C	transport protein particle (TRAPP) component
YKR069W	Methionine metabolism
YKR070W	Hypothetical ORF
YKR071C	Protein required for cell viability
YKR072C	Involved in cell cycle control and ion homeostasis
YKR073C	Hypothetical ORF
YKR074W	Hypothetical ORF
YKR075C	Hypothetical ORF
YKR076W	ExtraCellular Mutant
YKR077W	Hypothetical ORF
YKR078W	Hypothetical ORF
YKR079C	Protein required for cell viability
YKR080W	NAD-dependent 5,10-methylenetetrahydrafolate dehydrogenase
YKR081C	
YKR082W	nuclear pore complex subunit
YKR083C	Duo1 And Dam1 interacting; Helper of AsK1
YKR084C	Protein related to translation elongation factor EF-1alpha and to Suf12p/Sup2p/Gst1p/Sup35p
YKR038C	protein with similarity to the Pasteurella haemolytica O-sialo-glycoprotein-endopeptidase A1
YKR039W	general amino acid permease
YKR040C	Hypothetical ORF
YKR041W	Hypothetical ORF
YKR042W	Youth, involved in determining yeast longevity
YKR043C	Hypothetical ORF
YKR044W	Ulp1 Interacting Protein 5
YKR045C	Hypothetical ORF
YKR046C	Hypothetical ORF
YKR047W	Hypothetical ORF
YKR048C	nucleosome assembly protein I
YKR049C	Hypothetical ORF
YKR050W	low affinity potassium transport|membrane protein
YKR051W	Hypothetical ORF
YKR052C	carrier protein|highly homologous to Mrs3p
YKR053C	DHS-1-P phosphatase
YKR054C	heavy chain of cytoplasmic dynein
YKR055W	GTP-binding protein|ras homolog
YKR056W	tRNA methyltransferase
YKR057W	ribosomal protein S21A (S26A) (YS25)
YKR058W	glycogen synthesis initiator
YKR060W	
YKR061W	mannosyltransferase (putative)|type 2 membrane protein
YKR016W	Hypothetical ORF
YKR017C	Hypothetical ORF
YKR018C	Hypothetical ORF
YKR019C	Increased rDNA silencing
YKR020W	function unknown
YKR021W	Hypothetical ORF
YKR022C	Protein required for cell viability
YKR023W	Hypothetical ORF
YKR024C	RNA helicase (putative)
YKR025W	RNA polymerase III subunit
YKR026C	eIF2B 34 kDa alpha subunit
YKR027W	Hypothetical ORF
YKR028W	type 2A-related protein phosphatase
YKR029C	
YKR030W	gea1-6 membrane-associated high-copy suppressor Multicopy suppressor of gea1-6
YKR031C	phospholipase D
YKR032W	Hypothetical ORF
YKR033C	Hypothetical ORF
YKR034W	GATA family transcriptional repressor
YKR035W-A	class E vacuolar-protein sorting and endocytosis factor
YKR036C	CCR4 transcriptional complex component
YKR037C	spindle pole component
YKL006C-A	v-SNARE
YKL006W	ribosomal protein L14A
YKL006W	ribosomal protein L14A
YKL006W	ribosomal protein L14A
YKL005C	Negative regulator of transcription elongation
YKL004W	involved in phospolipid metabolism
YKL003C	ribosomal protein MRP17
YKL002W	class E vacuolar-protein sorting and endocytosis factor
YKL001C	adenylylsulfate kinase
YKR001C	GTP-binding protein (putative)|dynamin GTPase family member|similar to mammalian Mx proteins
YKR002W	poly(A) polymerase
YKR003W	Oxysterol Binding Protein
YKR004C	ExtraCellular Mutant
YKR005C	Hypothetical ORF
YKR006C	ribosomal protein (YmL13)
YKR007W	Hypothetical ORF
YKR008W	RSC complex member
YKR009C	multifunctional beta-oxidation protein
YKR010C	topoisomerase I interacting factor 2
YKR011C	Hypothetical ORF
YKR012C	Hypothetical ORF
YKR013W	Pathogen Related in Sc, contains homology to the plant PR-1 class of pathogen related proteins. The protein sequence is over 60% identical with the Pry2p & Pry3p over 145 resid. PRY1 is >35% identical (50% similar) to tobacco PR-1c protein.
YKR014C	rab5-like GTPase involved in vacuolar protein sorting and endocytosis
YKR015C	Hypothetical ORF
YKL028W	transcription factor tfIIE large subunit
YKL027W	Hypothetical ORF
YKL026C	Glutathione peroxidase paralogue
YKL025C	Pab1p-dependent poly(A) ribonuclease (PAN) 76 kDa subunit
YKL024C	uridine-monophosphate kinase (uridylate kinase)
YKL023W	Hypothetical ORF
YKL022C	metal-binding nucleic acid-binding protein, interacts with Cdc23p and Cdc27p to catalyze the conjugation of ubiquitin to cyclin B (putative)
YKL021C	essential for cell growth and replication of M dsRNA virus; contains four beta-transducin repeats
YKL020C	Dosage dependent suppressor of Ty-induced promoter mutations. Homolog of Mga2. Spt23p and Mga2p differentially activate and regulate OLE1 transcription.
YKL019W	CAAX farnesyltransferase alpha subunit
YKL018W	compass (complex proteins associated with Set1p) component
YKL017C	DNA helicase A
YKL016C	ATP synthase d subunit
YKL015W	zinc finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type
YKL014C	Protein required for cell viability
YKL013C	Arp complex subunit
YKL012W	U1 snRNP protein
YKL011C	cruciform cutting endonuclease
YKL010C	ubiquitin ligase e3
YKL009W	mRna turnover 4
YKL008C	LAG1 longevity gene homolog
YKL007W	capping protein
YKL051W	Suppressor of PI Four Kinase
YKL050C	Hypothetical ORF
YKL049C	similar to histone H3 and to human centromere protein CENP-A
YKL048C	protein kinase
YKL047W	Hypothetical ORF
YKL046C	Defective Cell Wall. N-glycosylated, GPI-anchored membrane protein.
YKL045W	DNA primase p58 polypeptide
YKL044W	Hypothetical ORF
YKL043W	transcription factor (putative)
YKL042W	spindle pole body component
YKL041W	involved in secretion
YKL040C	Nifu-like protein
YKL039W	membrane protein (putative)
YKL038W	transcriptional activator|transcriptional repressor
YKL037W	Hypothetical ORF
YKL036C	Protein required for cell viability
YKL035W	uridinephosphoglucose pyrophosphorylase
YKL034W	RING-domain E3 ubiquitin ligase
YKL033W	Protein required for cell viability
YKL032C	intrastrand crosslink recognition protein
YKL031W	Hypothetical ORF
YKL030W	Hypothetical ORF
YKL029C	malic enzyme
YKL072W	binds Sin3p in two-hybrid assay
YKL071W	Hypothetical ORF
YKL070W	Hypothetical ORF
YKL069W	Hypothetical ORF
YKL068W	nuclear pore complex subunit
YKL067W	nucleoside diphosphate kinase
YKL066W	Hypothetical ORF
YKL065C	yeast endoplasmic reticulum 24 kDa transmembrane protein
YKL064W	Product of gene unknown
YKL063C	Hypothetical ORF
YKL062W	zinc finger protein
YKL061W	Hypothetical ORF
YKL060C	aldolase
YKL059C	Protein required for cell viability
YKL058W	transcription factor IIA subunit|beta
YKL057C	100 kDa protein (predicted molecular weight is 120 kDa) with two leucine zipper motifs, coiled-coil region, and some homology to Nup133p|nuclear pore complex subunit
YKL056C	Hypothetical ORF
YKL055C	3-oxoacyl-[acyl-carrier-protein] reductase
YKL054C	Rad26-interacting protein
YKL053C-A	Mitochondrial Distribution and Morphology
YKL053W	Hypothetical ORF
YKL052C	Associated with Spindles and Kinetochores
YKL093W	Involved in mitochondrial biogenesis
YKL092C	GTPase activating protein (GAP) for Rsr1p/Bud1p
YKL091C	Sec14p homolog
YKL090W	Contains two tandem copies of the CUE domain near the amino terminus; these domains bind ubiquitin independently, but not cooperatively
YKL089W	centromere protein required for normal chromosome segregation and spindle integrity
YKL088W	Protein required for cell viability
YKL087C	cytochrome c1 heme lyase (CC1HL)
YKL086W	Hypothetical ORF
YKL085W	malate dehydrogenase
YKL084W	Hypothetical ORF
YKL082C	Required for normal pre-rRNA Processing
YKL083W	Protein required for cell viability
YKL081W	translation elongation factor EF-1gamma
YKL081W	translation elongation factor EF-1gamma
YKL080W	V1 sector hydrophilic subunit C|vacuolar ATPase V1 domain subunit C (42 kDa)|vacuolar H-ATPase
YKL079W	kinesin heavy chain homolog
YKL078W	Required for 18S ribosomal RNA synthesis
YKL077W	Hypothetical ORF
YKL076C	Platinum Sensitivity
YKL076C	Platinum Sensitivity
YKL075C	Hypothetical ORF
YKL074C	Involved in early pre-mRNA splicing
YKL073W	Hsp70 family
YKL115C	Hypothetical ORF
YKL114C	major apurinic/apyrimidinic endonuclease/3'-repair diesterase
YKL113C	42 kDa 5' to 3' exonuclease required for Okazaki fragment processing
YKL112W	ARS1 binding protein|transcriptional activator
YKL111C	Protein required for cell viability
YKL110C	Elongator associated protein
YKL109W	transcriptional activator protein of CYC1 (component of HAP2/HAP3 heteromer)
YKL108W	Synthetically lethal with dpb11-1; required for DNA replication
YKL107W	Hypothetical ORF
YKL106W	aspartate aminotransferase
YKL105C	Hypothetical ORF
YKL104C	glucoseamine-6-phosphate synthase|glutamine_fructose-6-phosphate amidotransferase
YKL103C	vacuolar aminopeptidase ysc1
YKL102C	Hypothetical ORF
YKL101W	serine-threonine kinase|similar to S. pombe cdr1/nim1|kinase domain similar to GIN4 and KCC4
YKL100C	Hypothetical ORF
YKL099C	U3 snoRNP protein
YKL098W	Hypothetical ORF
YKL097C	Hypothetical ORF
YKL097W-A	
YKL096W	cell wall mannoprotein
YKL095W	Product of gene unknown
YKL094W	Product of gene unknown
YKL136W	Hypothetical ORF
YKL135C	beta-adaptin|clathrin associated protein complex large subunit
